"PARTNERID","ADDRESSES.ADDRESSID","EMAILADDRESS","FIRST_NAME","MID_NAME","LAST_NAME","LANGUAGE","SEX","WEB_ADDRESS"
"100000000","1000000034","karl.mueller@sap.com","Karl","null","Muller","E","M","http://www.sap.com"
"100000001","1000000035","dagmar.schulze@beckerberlin.de","Dagmar","null","Schulze","E","F","http://www.beckerberlin.de"
"100000002","1000000036","maria.brown@delbont.com","Maria","null","Brown","E","F","http://www.delbont.com"
"100000003","1000000037","saskia.sommer@talpa-hannover.de","Saskia","Clara","Sommer","E","F","http://www.talpa-hannover.de"
"100000004","1000000038","bob.buyer@panorama-studios.biz","Bob","null","Buyer","E","M","http://www.panorama-studios.biz"
"100000005","1000000039","bart.koenig@tecum-ag.de","Bart","Friedrich","Koenig","E","M","http://www.tecum-ag.de"
"100000006","1000000040","yoko.nakamura@asia-ht.com","Yoko","null","Nakamura","E","F","http://www.asia-ht.com"
"100000007","1000000041","sophie.ribery@laurent-paris.com","Sophie","null","Ribery","E","F","http://www.laurent-paris.com"
"100000008","1000000042","victor.sanchez@avantel.com","Victor","null","Sanchez","E","M","http://www.avantel.com"
"100000009","1000000043","jorge.velez@telecomunicacionesstar.com","Jorge","null","Velez","E","M","http://www.telecomunicacionesstar.com"
"100000010","1000000044","franklin.jones@pear-computing.com","Franklin","null","Jones","E","M","http://www.pear-computing.com"
"100000011","1000000045","joseph_gschwandtner@alp-systems.at","Joseph","null","Gschwandtner","E","M","http://www.alp-systems.at"
"100000012","1000000046","george_d_grant@newlinedesign.co.uk","George","David","Grant","E","M","http://www.newlinedesign.co.uk"
"100000013","1000000047","sarah.schwind@hepa-tec.de","Sarah","null","Schwind","E","F","http://www.hepa-tec.de"
"100000014","1000000048","theodor.monathy@anavideon.com","Theodor","null","Monathy","E","M","http://www.anavideon.com"
"100000015","1000000049","robert_brown@rb-entertainment.ca","Robert","null","Brown","E","M","http://www.rb-entertainment.ca"
"100000016","1000000050","jorgemontalban@motc.mx","Jorge","null","Montalban","E","M","http://www.motc.mx"
"100000017","1000000051","johanna.esther@meliva.de","Johanna","null","Esther","E","F","http://www.meliva.de"
"100000018","1000000052","miguel.luengo@compostela.ar","Miguel","null","Luengo","E","M","http://www.compostela.ar"
"100000019","1000000053","isabel.nemours@pateu.fr","Isabel","null","Nemours","E","F","http://www.pateu.fr"
"100000020","1000000054","igor.tarassow@retc.ru","Igor","null","Tarassow","E","M","http://www.retc.ru"
"100000021","1000000055","alexis.harper@flor-hc.com","Alexis","null","Harper","E","F","http://www.flor-hc.com"
"100000022","1000000056","c.alfaro@quimica-madrilenos.es","Cristal","null","Alfaro","E","F","http://www.quimica-madrilenos.es"
"100000023","1000000057","sven.j@getraenke-janssen.de","Sven","null","Janssen","E","M","http://www.getraenke-janssen.de"
"100000024","1000000058","yoshiko.kakuji@jateco.jp","Yoshiko","null","Kakuji","E","F","http://www.jateco.jp"
"100000025","1000000059","alessio.galasso@tcdr.it","Alessio","null","Galasso","E","M","http://www.tcdr.it"
"100000026","1000000060","romain.le_mason@verdo.fr","Romain","null","Le Mason","E","M","http://www.verdo.fr"
"100000027","1000000061","martha.calcagno@dpg.ar","Martha","null","Calcagno","E","F","http://www.dpg.ar"
"100000028","1000000062","beatriz.da_silva@brazil-tec.br","Beatriz","null","da Silva","E","F","http://www.brazil-tec.br"
"100000029","1000000063","anthony.lebouef@crtu.ca","Anthony","null","Leboeuf","E","M","http://www.crtu.ca"
"100000030","1000000064","lisa.felske@jologa.ch","Lisa","null","Felske","E","F","http://www.jologa.ch"
"100000031","1000000065","jonathan.d.mason@baleda.com","Jonathan","Dwight","Mason","E","M","http://www.baleda.com"
"100000032","1000000066","amelie.troyat@angere.fr","Amelie","null","Troyat","E","F","http://www.angere.fr"
"100000033","1000000067","pete_waltham@pc-gym-tec.com","Pete","null","Waltham","E","M","http://www.pc-gym-tec.com"
"100000034","1000000068","ryu.toshiro@jip.jp","Ryu","null","Toshiro","E","M","http://www.jip.jp"
"100000035","1000000069","jose-lopez@en-ar.ar","Jose","null","Lopez","E","M","http://www.en-ar.ar"
"100000036","1000000070","dahoma.lawla@agadc.co.za","Dahoma","null","Lawla","E","M","http://www.agadc.co.za"
"100000037","1000000071","jefferson.parker@pico-bit.com","Jefferson","null","Parker","E","M","http://www.pico-bit.com"
"100000038","1000000072","tamara.flaig@brl-ag.de","Tamara","null","Flaig","E","F","http://www.brl-ag.de"
"100000039","1000000073","sunita-kapoor@it-trade.in","Sunita","null","Kapoor","E","F","http://www.it-trade.in"
"100000040","1000000074","pawel-lewandoski@catf.pl","Pawel","null","Lewandowski","E","M","http://www.catf.pl"
"100000041","1000000075","laura.campillo@saitc.ar","Laura","null","Campillo","E","F","http://www.saitc.ar"
"100000042","1000000076","jian.si@siwusha.cn","Jian","null","Si","E","M","http://www.siwusha.cn"
"100000043","1000000077","frederik.christensen@dftc.dk","Frederik","null","Christensen","E","M","http://www.dftc.dk"
"100000044","1000000078","mirjam.schmidt@sorali.de","Mirjam","null","Schmidt","E","F","http://www.sorali.de"
