"PARTNERID","ADDRESSES.ADDRESSID","EMAILADDRESS"
"100000000","1000000034","karl.mueller@sap.com"
"100000001","1000000035","dagmar.schulze@beckerberlin.de"
"100000002","1000000036","maria.brown@delbont.com"
"100000003","1000000037","saskia.sommer@talpa-hannover.de"
"100000004","1000000038","bob.buyer@panorama-studios.biz"
"100000005","1000000039","bart.koenig@tecum-ag.de"
"100000006","1000000040","yoko.nakamura@asia-ht.com"
"100000007","1000000041","sophie.ribery@laurent-paris.com"
"100000008","1000000042","victor.sanchez@avantel.com"
"100000009","1000000043","jorge.velez@telecomunicacionesstar.com"
"100000010","1000000044","franklin.jones@pear-computing.com"
"100000011","1000000045","joseph_gschwandtner@alp-systems.at"
"100000012","1000000046","george_d_grant@newlinedesign.co.uk"
"100000013","1000000047","sarah.schwind@hepa-tec.de"
"100000014","1000000048","theodor.monathy@anavideon.com"
"100000015","1000000049","robert_brown@rb-entertainment.ca"
"100000016","1000000050","jorgemontalban@motc.mx"
"100000017","1000000051","johanna.esther@meliva.de"
"100000018","1000000052","miguel.luengo@compostela.ar"
"100000019","1000000053","isabel.nemours@pateu.fr"
"100000020","1000000054","igor.tarassow@retc.ru"
"100000021","1000000055","alexis.harper@flor-hc.com"
"100000022","1000000056","c.alfaro@quimica-madrilenos.es"
"100000023","1000000057","sven.j@getraenke-janssen.de"
"100000024","1000000058","yoshiko.kakuji@jateco.jp"
"100000025","1000000059","alessio.galasso@tcdr.it"
"100000026","1000000060","romain.le_mason@verdo.fr"
"100000027","1000000061","martha.calcagno@dpg.ar"
"100000028","1000000062","beatriz.da_silva@brazil-tec.br"
"100000029","1000000063","anthony.lebouef@crtu.ca"
"100000030","1000000064","lisa.felske@jologa.ch"
"100000031","1000000065","jonathan.d.mason@baleda.com"
"100000032","1000000066","amelie.troyat@angere.fr"
"100000033","1000000067","pete_waltham@pc-gym-tec.com"
"100000034","1000000068","ryu.toshiro@jip.jp"
"100000035","1000000069","jose-lopez@en-ar.ar"
"100000036","1000000070","dahoma.lawla@agadc.co.za"
"100000037","1000000071","jefferson.parker@pico-bit.com"
"100000038","1000000072","tamara.flaig@brl-ag.de"
"100000039","1000000073","sunita-kapoor@it-trade.in"
"100000040","1000000074","pawel-lewandoski@catf.pl"
"100000041","1000000075","laura.campillo@saitc.ar"
"100000042","1000000076","jian.si@siwusha.cn"
"100000043","1000000077","frederik.christensen@dftc.dk"
"100000044","1000000078","mirjam.schmidt@sorali.de"
